comment,topic_id,topic_label,confidence
mana cili sos tak sah ni,11,11_20_come_10_mayo,0.037
"mate, you left the rock hard center of the tomato in there tsk tsk",2,2_tomato_salt_salt pepper_pepper,0.591
Maybe its just me but if I reach for a RED condiment bottle and if anything other than Ketchup or Hot sause comes out....Im pissed...burger looks great tho,-1,outlier,0.091
Mayo in the ketchup bottle is wild work,10,10_ketchup_mayo ketchup_bottle_wheres,0.613
Mf did u just use a mixing spoon to spread sauce on a bun,-1,outlier,0.075
Minus the mustard please. I’ll have 2.,5,5_mustard_mustard burger_sandwich_hot,0.154
miss me wit that dollop of mayo 😳,12,12_mayo_mayo looks_bottle_red bottle,1.0
More cheese or I won’t eat 👌,4,4_cheese_cheeseburger_american_slice,0.109
"more mayo, delete the mustard and egg.",12,12_mayo_mayo looks_bottle_red bottle,0.144
"must be American mustard, if it were English it'd blow yer head off 😂🤣",5,5_mustard_mustard burger_sandwich_hot,1.0
Mustard not required my good sir. Mayo on the salad side ketchup on meat side,-1,outlier,0.094
Mustard on the meat side! 😂,5,5_mustard_mustard burger_sandwich_hot,0.366
My ass thinking that was premature provolone,-1,outlier,0.167
My ideal From bottom to top: Bun - lettuce or tomatoes - cheese - beef/chicken - cheese - hash brown - sauce - lettuce - sauce,23,23_bun_lettuce_tomatoes_order,1.0
My mouth is not that big.😁,-1,outlier,0.032
"Nah, adding an egg is crazy work",1,1_egg_yolk_runny_lost,0.305
Nearly everything is better with an egg. Ramen. Burger. Pizza. All valid and good additions.,0,0_egg burger_egg_eggs_burger,0.191
"Need more pickles. Those look nice, but one bite snd entire thing slides off",8,8_pickles_cold_hot_heat,1.0
needs more meat and less gunk,-1,outlier,0.051
Never got into the egg on the burger thing,0,0_egg burger_egg_eggs_burger,0.538
nga that looks like a burgernator✌️😭,7,7_krabby_krabby patty_patty_looks like,0.132
No egg & don’t squash the burger while cooking,0,0_egg burger_egg_eggs_burger,0.6
No egg ... egg is for breakfast... no egg on burgers pizza etc ...,0,0_egg burger_egg_eggs_burger,0.133
No ketchup is a sin.,10,10_ketchup_mayo ketchup_bottle_wheres,1.0
No one’s talking about only half of the bun has sesame seeds on it,19,19_bun_sesame_seeds_half,1.0
"No salt on the tomato, amateur",2,2_tomato_salt_salt pepper_pepper,1.0
No seasoning. I guess that’s the big trend now. Flavorless burgers. 🙄,18,18_seasoning_people_grill_burger didnt,1.0
Normally would agree but homie did justice wit that one I don’t like an under cooked egg like runny for a burger ig not under cooked tho lol,0,0_egg burger_egg_eggs_burger,0.327
Not good lettuce for a sandwich and the center of the tomato not edible,3,3_lettuce_lettuce tomato_veggies_tomato,0.807
Now that is a propper burgar😅,16,16_smash_love_im_fact,0.327
Now that’s a burger 👍👍👍❤️,6,6_burger_perfect burger_burger dont_thats,0.219
"Oh my God, I love your videos so much. It brings me so much inspiration and I love every time you spread the mayo on the bun and it makes me so happy like I literally can’t stand it in those pickles are so even my gosh like I love the mayo and the cheese and the egg and the mustard and the pickles and the mayo and the lettuce and the tomatoes and the buns and the sesame seeds and everything on them in the heat.",-1,outlier,0.033
"Oh thank God it's not a ""smash birger""",16,16_smash_love_im_fact,0.537
People just NEED a reason to be pissed off now🥀🥀🫩,22,22_people_theres_reason_tf,1.0
People wonder why restaurant burgers are so good: BUTTER,-1,outlier,0.052
"Pickle looks fresh, also the mayo isn’t supposed to be in the red bottle😳",17,17_pickles_pickle_mustard_mustard pickles,0.229
pickles on the burger while it cooks makes the pickles soggy and I HATE when somebody gives me the butt off the tomato with that hard green piece of core in the middle of it. other than that nice toasted bun and burger.,17,17_pickles_pickle_mustard_mustard pickles,0.328
ppl are allergic to compliments these day isn't it,22,22_people_theres_reason_tf,1.0
"Produits de luxe, même les tomates sont à 4€99 le kilo. Jte parle pas de la viande à 20€ le kilo.",11,11_20_come_10_mayo,0.164
qué puñetera manía de aplastar la carne ahora,11,11_20_come_10_mayo,0.598
Remove egg and tomato please,2,2_tomato_salt_salt pepper_pepper,0.276
"remove the mustard, pickle and tomatoes and id tear this up",17,17_pickles_pickle_mustard_mustard pickles,0.46
Remove the tomato and then it's perfect,2,2_tomato_salt_salt pepper_pepper,0.585
Ruined it by smashing it,16,16_smash_love_im_fact,0.22
Ruined it by using American cheese,4,4_cheese_cheeseburger_american_slice,0.361
Ruined it with pickles 🤮,8,8_pickles_cold_hot_heat,0.539
Ruined it with that imitation cheese,4,4_cheese_cheeseburger_american_slice,0.228
ruined it with the egg,1,1_egg_yolk_runny_lost,0.239
"RUINED that burger with mustard, extra MAYO and ketchup only save the mustard for hotdogs. 🤮",5,5_mustard_mustard burger_sandwich_hot,0.314
Salad should never be anywhere near a burger,3,3_lettuce_lettuce tomato_veggies_tomato,0.158
salt and pepper that tomato...,2,2_tomato_salt_salt pepper_pepper,0.708
Salt n pepper on one side,2,2_tomato_salt_salt pepper_pepper,0.532
season the tomato with s&p,2,2_tomato_salt_salt pepper_pepper,0.78
si evaluamos la cálidad de los gramos del pan y de la cebolla podemos concluir que efectivamente soy re puto,11,11_20_come_10_mayo,0.33
Sir make that 2 slices of tomato 🤭,2,2_tomato_salt_salt pepper_pepper,0.494
skip the onion and make the egg over easy. that burger would be spot on.,0,0_egg burger_egg_eggs_burger,0.084
Smashburgers are so lazy 🙄,-1,outlier,0.062
so cheap with that mayo girl,12,12_mayo_mayo looks_bottle_red bottle,1.0
So many negative people commenting ...,22,22_people_theres_reason_tf,1.0
someone send this to mcDanold,-1,outlier,0.024
Something about mustard on a cheeseburger just makes everything right.,5,5_mustard_mustard burger_sandwich_hot,0.534
spanish onions are shit on a burger,-1,outlier,0.034
Spectacular. Give me 14 of them right now.,13,13_yes_ill_need_hot pickle,0.534
Still cant beat Ramly burger,-1,outlier,0.118
still junk food for mom 💀,-1,outlier,0.025
Stop putting the burger on the burger,20,20_burger burger_burger_burger thing_burger patty,0.303
"Stop using gloves and wash your hands, touching raw meat then ham",14,14_gloves_using_meat_left,0.341
Stopped watching after junk cheese,4,4_cheese_cheeseburger_american_slice,0.234
Such light seasonings?? Too bland for my Pakistani tastebuds 😂😭,18,18_seasoning_people_grill_burger didnt,0.143
Suddenly everyone’s an expert on burger,-1,outlier,0.236
Sup with the mustard? I like mustard. But twice? No Ketchup? Sooo many questions.,5,5_mustard_mustard burger_sandwich_hot,0.279
swap the egg for bacon. add one more peice of cheese. mayo for ketchup and I'm in.,-1,outlier,0.108
Take that TOMATO OFFFF!! That’s fried egg onion tho!! 🤏🏾🤏🏾,9,9_onion_egg onion_onion ring_ring,0.628
taking half the white sauce is diabolical.,12,12_mayo_mayo looks_bottle_red bottle,0.291
Tf was that red thing you put on the lettuce,3,3_lettuce_lettuce tomato_veggies_tomato,1.0
Thank you for not smashing the fuck out of that patty,-1,outlier,0.035
Thank you for not using ketchup. But a little more mayo would be good,10,10_ketchup_mayo ketchup_bottle_wheres,0.307
Thank you for wearing gloves and using tongs to handle the ingredients!,14,14_gloves_using_meat_left,0.252
that amount of mayo is the same as my will to live,-1,outlier,0.157
That hard core in the middle of your tomato slice is a non-starter..,2,2_tomato_salt_salt pepper_pepper,0.672
"That lettuce sucks on a hamburger, it always look like it came of the floor of the kitchen 🤮",3,3_lettuce_lettuce tomato_veggies_tomato,1.0
that looks amazing but loose the egg,1,1_egg_yolk_runny_lost,0.524
that my friend is a krabby patty,7,7_krabby_krabby patty_patty_looks like,0.742
That was a magical burger !!,6,6_burger_perfect burger_burger dont_thats,1.0
That yolk is bone dry I just know it,1,1_egg_yolk_runny_lost,0.129
That’s a damn Krabby patty!,7,7_krabby_krabby patty_patty_looks like,0.719
That’s one perfect piece of lettuce lol,3,3_lettuce_lettuce tomato_veggies_tomato,0.3
that'll be you 60 bucks please,13,13_yes_ill_need_hot pickle,1.0
"That's a krabby patty, just tell us the secret formula",7,7_krabby_krabby patty_patty_looks like,0.413
That's an awfully small burger.,6,6_burger_perfect burger_burger dont_thats,0.372
"That's lovely. An artist. Better be at least 20% grease, or it's just a mirage. I'm hopeful. 💕",15,15_delicious_looks delicious_looks_look,0.329
"The amount of precision and care for the burger, I thought they were gonna tuck it in to bed and give it a kiss like SpongeBob",-1,outlier,0.079
The bottom bun is gonna be soggy and gross,19,19_bun_sesame_seeds_half,1.0
The burger patty was placed a little off center.,20,20_burger burger_burger_burger thing_burger patty,1.0
the egg is fine but why is it upside down?,1,1_egg_yolk_runny_lost,0.218
The egg is the best part,1,1_egg_yolk_runny_lost,0.705
The fact that you didn't make this into a beautiful smash burger 😡,-1,outlier,0.105
The lettuce is trash. The yellow sauce is sus and the egg makes my skin crawl,3,3_lettuce_lettuce tomato_veggies_tomato,1.0
"The tomato and the lettuce always go on top of the burger, never under. this is sacrilegious.",3,3_lettuce_lettuce tomato_veggies_tomato,0.848
The two pickle patty limit is bsllocks.,8,8_pickles_cold_hot_heat,1.0
the who never eat it,5,5_mustard_mustard burger_sandwich_hot,0.444
"them hating eggs on the burger, but sucks dih",0,0_egg burger_egg_eggs_burger,0.214
They do things different here ahh egg,1,1_egg_yolk_runny_lost,0.472
thia Is not MC Donald s,-1,outlier,0.024
this sentimental sensory-focused style is weird and creepy. it's a cheeseburger.,4,4_cheese_cheeseburger_american_slice,0.625
those buns already killed it. Nongood burger between sponges...,19,19_bun_sesame_seeds_half,0.085
those dont look like hamburger dills,6,6_burger_perfect burger_burger dont_thats,0.192
Those sweet milk buns they use for burgers are not delicious,19,19_bun_sesame_seeds_half,0.074
those veggies are warm 😭,3,3_lettuce_lettuce tomato_veggies_tomato,0.062
too much stuff on this,-1,outlier,0.092
"Toppings as they are called go on Top, but still a good looking burger.",-1,outlier,0.026
Totally happy with everything but the second dollop of mustard like is that special sauce or mustard,5,5_mustard_mustard burger_sandwich_hot,0.367
Trying to wrap my head around not leaving the yoke runny.,1,1_egg_yolk_runny_lost,0.068
u sauced one side of the beef only,-1,outlier,0.026
"Want to study bricks the egg by one hands without smash the eggyolk, pm me",1,1_egg_yolk_runny_lost,0.262
was that pickled bitter gourd?,8,8_pickles_cold_hot_heat,0.524
well done... y'all stuff look raw,15,15_delicious_looks delicious_looks_look,1.0
"well I like it, be gone in about a minute!",22,22_people_theres_reason_tf,0.228
wer my onions noways mosays😏...,9,9_onion_egg onion_onion ring_ring,0.733
What a delightful presentation 🍔 😁👍,15,15_delicious_looks delicious_looks_look,0.105
"what an waste of an egg, might as well eat rubber.",1,1_egg_yolk_runny_lost,0.192
What country is this from.,7,7_krabby_krabby patty_patty_looks like,0.157
What did you do with that grilled onion! Yum!!!!,9,9_onion_egg onion_onion ring_ring,1.0
What is the size of onion,9,9_onion_egg onion_onion ring_ring,1.0
What is this communist bullshit where the lettuce and tomato go UNDER the meat?,3,3_lettuce_lettuce tomato_veggies_tomato,0.546
When did this shit with gloves become a must?,-1,outlier,0.137
where i can buy it ?😁😁,13,13_yes_ill_need_hot pickle,0.112
Where is the peanut butter?,10,10_ketchup_mayo ketchup_bottle_wheres,1.0
Where that dang onion go?,9,9_onion_egg onion_onion ring_ring,1.0
Where the heck is the ketchup,10,10_ketchup_mayo ketchup_bottle_wheres,1.0
where you selling them... damn give me 4 please!!😁,13,13_yes_ill_need_hot pickle,0.28
Where’s the ketchup lol 😂,10,10_ketchup_mayo ketchup_bottle_wheres,0.838
wheres the caramelisation on the meat,-1,outlier,0.072
where's the ketchup my guy 😂,10,10_ketchup_mayo ketchup_bottle_wheres,0.552
who put egg on burger?,0,0_egg burger_egg_eggs_burger,1.0
who wants a hot pickle😳,13,13_yes_ill_need_hot pickle,0.067
Why cook the egg before beef???,0,0_egg burger_egg_eggs_burger,0.118
Why did you heat up the pickles? you're losing crunch that way.,8,8_pickles_cold_hot_heat,1.0
why do white people refuse to use seasoning?,18,18_seasoning_people_grill_burger didnt,1.0
Why does this reminds me of American Psycho ahahaah,4,4_cheese_cheeseburger_american_slice,0.492
Why don’t you salt the tomato? Makes a huge difference,2,2_tomato_salt_salt pepper_pepper,1.0
why in gods name would you put lettuce below the burger?,3,3_lettuce_lettuce tomato_veggies_tomato,0.772
Why is there an egg in an onion,9,9_onion_egg onion_onion ring_ring,1.0
Why is there so much mustard on that?,5,5_mustard_mustard burger_sandwich_hot,1.0
Why the bun got like 1/3 sesame seed?,19,19_bun_sesame_seeds_half,1.0
Why the egg ? 😳,1,1_egg_yolk_runny_lost,0.518
Why we making the bun first,19,19_bun_sesame_seeds_half,1.0
why yall putting cheese on my cheeseburger,4,4_cheese_cheeseburger_american_slice,0.437
why you put cheese on my cheeseburger?,4,4_cheese_cheeseburger_american_slice,0.664
would you like a burger with your mustard,5,5_mustard_mustard burger_sandwich_hot,0.752
wrong order to make them in but yes that's a cheese burger do you want a cookie,21,21_cheeseburger_making cheeseburger_youre_making,0.066
Wrong. Pickles are a cold item. Cold items go on top of hot items. Egg is unnecessary.,8,8_pickles_cold_hot_heat,0.211
Yall are crazy I’d enjoy the hell out of that burger,6,6_burger_perfect burger_burger dont_thats,1.0
"yes, I need one, two of those",13,13_yes_ill_need_hot pickle,1.0
"Yes, please may I have two?",13,13_yes_ill_need_hot pickle,1.0
"Yet another TikTok video with an unseasoned egg. Where does it end, people?!",1,1_egg_yolk_runny_lost,0.477
You better bring back the mayo bottle and squeeze about four more seconds on that,12,12_mayo_mayo looks_bottle_red bottle,0.503
"You cracked an egg there, buddy. You’re not making a cheeseburger.",21,21_cheeseburger_making cheeseburger_youre_making,1.0
You just made a crabby patty,7,7_krabby_krabby patty_patty_looks like,1.0
you know its going to be expensive when the chef has pickle tweezers and a baby spoons for mustard,17,17_pickles_pickle_mustard_mustard pickles,1.0
You lost me at the toxic-chemical American cheese,4,4_cheese_cheeseburger_american_slice,0.341
You ruined it with the mustard and pickles,17,17_pickles_pickle_mustard_mustard pickles,1.0
Your ingredients are so well behaved and cooperative,-1,outlier,0.01
You're supposed to use butter,-1,outlier,0.025
YUCK TOO MUCH MUSTARD BRO THAT IS NOT A FREAKING HOT DOG,5,5_mustard_mustard burger_sandwich_hot,1.0
Yummmmmm I feel like they learned how to make burgers from Sponge bob😮‍💨😮‍💨😮‍💨😮‍💨😮‍💨,-1,outlier,0.024
